排名,推薦評分,代號,名稱,標的證券,標的證券ROI%,DELTA,剩餘期間(日),有效槓桿,成本槓桿,隱含波動,歷史波動性,IV_HV_ratio,溢價比率%,當日成交量,未履約數,流通在外比例(%),THETA,VEGA,履約價(元),權證收盤價(元),標的證券價格(元)
1,60.8,064536,強茂永豐5B購02,2481   強茂,0.3401,0.049,182,2.418,4.93,0.5859,0.5891,0.994567985061959,29.59,568,4500,17.78,-2.363,4.114,161.25,2.99,147.5
2,60.1,059570,強茂凱基5B購03,2481   強茂,0.3401,0.067,176,2.594,3.96,0.5854,0.5891,0.9937192327278901,16.8,282,1000,29.6,-2.217,3.784,135.03,3.8,147.5
3,59.9,060697,強茂永豐5C購01,2481   強茂,0.3401,0.035,212,2.537,4.53,0.5851,0.5891,0.9932099813274486,24.42,469,3000,23.53,-1.346,2.754,150.98,2.05,147.5
4,58.9,063190,強茂群益5B購01,2481   強茂,0.3401,0.04,169,2.488,4.69,0.586,0.5891,0.9947377355287728,25.68,459,2134,6.09,-1.856,3.003,153.93,2.39,147.5
5,58.3,053838,強茂凱基5B購01,2481   強茂,0.3401,0.122,183,2.298,3.27,0.5865,0.5891,0.9955864878628418,17.12,36,500,10.8,-3.432,6.128,127.66,7.8,147.5
6,58.1,052969,強茂統一61購01,2481   強茂,0.3401,0.035,239,2.256,2.81,0.5847,0.5891,0.9925309794601935,8.83,270,2500,30.52,-0.57,1.391,108.02,2.31,147.5
7,58.1,060802,強茂元富59購02,2481   強茂,0.3401,0.219,121,2.718,3.78,0.5865,0.5891,0.9955864878628418,13.0,49,1000,36.4,-7.362,8.607,127.66,11.9,147.5
8,57.3,057352,強茂元大5C購01,2481   強茂,0.3401,0.064,218,2.053,2.82,0.5871,0.5891,0.9966049906637243,18.4,104,500,37.4,-1.501,3.229,122.26,4.61,147.5
9,57.2,067464,強茂台新5B購01,2481   強茂,0.3401,0.042,178,2.093,4.98,0.5869,0.5891,0.9962654897300968,37.53,179,5000,1.92,-2.36,3.996,173.25,2.96,147.5
10,57.1,060443,強茂永豐5B購01,2481   強茂,0.3401,0.031,181,2.0,2.87,0.5884,0.5891,0.9988117467323037,22.04,208,3000,1.27,-0.911,1.602,128.68,2.31,147.5
11,57.1,061555,強茂國泰5A購02,2481   強茂,0.3401,0.09,160,2.638,3.56,0.5853,0.5891,0.9935494822610763,11.28,91,2560,1.25,-2.41,3.779,122.75,5.05,147.5
12,56.9,058107,強茂永豐5A購01,2481   強茂,0.3401,0.073,134,2.851,3.99,0.5853,0.5891,0.9935494822610763,11.61,375,2500,2.76,-2.345,3.048,127.66,3.77,147.5
13,56.7,053904,強茂永豐59購01,2481   強茂,0.3401,0.048,121,3.073,5.19,0.5854,0.5891,0.9937192327278901,16.72,1025,2500,39.6,-2.287,2.648,143.76,2.3,147.5
14,56.7,060801,強茂元富59購01,2481   強茂,0.3401,0.057,121,2.884,5.12,0.586,0.5891,0.9947377355287728,19.41,942,1750,23.2,-2.931,3.384,147.3,2.94,147.5
15,56.4,053492,強茂凱基58購04,2481   強茂,0.3401,0.19,90,3.507,5.07,0.585,0.5891,0.9930402308606349,9.6,109,1000,60.7,-8.129,7.021,132.57,8.0,147.5
16,56.2,054422,強茂群益61購01,2481   強茂,0.3401,0.031,247,2.284,3.72,0.5854,0.5891,0.9937192327278901,23.39,115,1731,2.08,-0.964,2.321,142.39,2.02,147.5
17,56.2,059451,強茂元大5C購02,2481   強茂,0.3401,0.038,204,2.339,3.07,0.5855,0.5891,0.9938889831947039,12.1,95,500,7.2,-0.817,1.657,117.35,2.4,147.5
18,55.8,067445,強茂富邦61購02,2481   強茂,0.3401,0.033,239,1.57,3.35,0.5884,0.5891,0.9988117467323037,45.08,161,5000,0.74,-1.437,3.283,170.0,3.08,147.5
19,55.8,067452,強茂國泰5C購01,2481   強茂,0.3401,0.05,210,2.206,3.53,0.5863,0.5891,0.9952469869292142,23.22,65,5000,0.26,-1.639,3.336,140.0,3.34,147.5
20,55.7,064748,強茂凱基5B購04,2481   強茂,0.3401,0.037,183,2.417,5.85,0.5858,0.5891,0.9943982345951452,35.74,72,1100,10.0,-2.083,3.633,175.0,2.27,147.5
21,55.4,063625,強茂元大5A購02,2481   強茂,0.3401,0.035,142,2.676,4.74,0.586,0.5891,0.9947377355287728,21.3,353,5000,10.92,-1.637,2.224,147.79,1.93,147.5
22,55.0,063748,強茂元大5A購05,2481   強茂,0.3401,0.034,143,2.672,4.5,0.586,0.5891,0.9947377355287728,19.74,291,5000,8.84,-1.499,2.055,143.86,1.9,147.5
23,54.7,059450,強茂元大5B購03,2481   強茂,0.3401,0.082,174,1.943,2.43,0.5899,0.5891,1.0013580037345102,17.37,30,500,26.0,-1.651,2.848,112.44,6.25,147.5
24,54.7,055341,強茂凱基5C購01,2481   強茂,0.3401,0.068,195,1.974,2.34,0.5886,0.5891,0.9991512476659312,12.59,30,500,8.0,-1.003,2.0,103.11,5.1,147.5
25,54.4,060036,強茂凱基61購02,2481   強茂,0.3401,0.056,239,2.247,3.67,0.5856,0.5891,0.9940587336615176,23.8,29,1000,4.6,-1.774,4.124,142.39,3.7,147.5
26,54.1,067489,強茂凱基5B購06,2481   強茂,0.3401,0.032,178,2.309,4.65,0.5863,0.5891,0.9952469869292142,29.96,46,5000,0.32,-1.555,2.645,160.0,2.06,147.5
27,53.9,063626,強茂元大5A購03,2481   強茂,0.3401,0.034,142,2.507,3.65,0.5867,0.5891,0.9959259887964692,16.27,208,5000,1.2,-1.171,1.605,131.1,2.02,147.5
28,53.7,054334,強茂永豐57購03,2481   強茂,0.3401,0.057,64,4.585,8.22,0.5845,0.5891,0.9921914785265661,11.43,946,4500,27.11,-4.077,2.476,146.42,1.83,147.5
29,53.7,064053,強茂群益5A購01,2481   強茂,0.3401,0.058,146,2.739,4.38,0.5857,0.5891,0.9942284841283314,17.38,72,2226,1.21,-2.287,3.213,139.44,3.1,147.5
30,53.4,057648,強茂元大61購01,2481   強茂,0.3401,0.07,225,2.053,2.37,0.586,0.5891,0.9947377355287728,7.12,16,800,82.38,-0.78,1.87,95.65,5.05,147.5
